"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","215","Update course","LMS service","2026-08-24","passed","2026-08-24","Update entity","Courses","",""
"","7","Get file","LMS service","2026-08-24","passed","2026-08-24","Get entity","Files","",""
"","200","Create user","LMS service","2026-08-24","passed","2026-08-24","Create entity","Users","",""
"","15","Update exercise","LMS service","2026-08-24","passed","2026-08-24","Update entity","Exercises","",""
"","11","Get exercises","LMS service","2026-08-24","passed","2026-08-24","Get entities","Exercises","",""
"","8","Get user me","LMS service","2026-08-24","passed","2026-08-24","Get entity","Users","",""
"","381","Create user","LMS service","2026-08-24","passed","2026-08-24","Create entity","Users","",""
"","182","Create file with empty directory","LMS service","2026-08-24","passed","2026-08-24","Validate entity","Files","",""
"","8","Get exercise","LMS service","2026-08-24","passed","2026-08-24","Get entity","Exercises","",""
"","373","Create user","LMS service","2026-08-24","passed","2026-08-24","Create entity","Users","",""
"","8","Get file with incorrect file id","LMS service","2026-08-24","passed","2026-08-24","Validate entity","Files","",""
"","34","Create course","LMS service","2026-08-24","passed","2026-08-24","Create entity","Courses","",""
"","13","Get courses","LMS service","2026-08-24","passed","2026-08-24","Get entities","Courses","",""
"","12","Delete file","LMS service","2026-08-24","passed","2026-08-24","Delete entity","Files","",""
"","17","Delete exercise","LMS service","2026-08-24","passed","2026-08-24","Delete entity","Exercises","",""
"","188","Create file","LMS service","2026-08-24","passed","2026-08-24","Create entity","Files","",""
"","10","Create file with empty filename","LMS service","2026-08-24","passed","2026-08-24","Validate entity","Files","",""
"","197","Login with correct email and password","LMS service","2026-08-24","passed","2026-08-24","Login","Authentication","",""
"","13","Create exercise","LMS service","2026-08-24","passed","2026-08-24","Create entity","Exercises","",""
